N-(5-Chlorobenzoxazol-2-yl)acetamide,35783-57-4,1
(2-Acetoxyethyl)trimethylammonium hydroxide (Acetylcholine),51-84-3,2
Deanol aceglumate,3342-61-8,3
SPIRONOLACTONE,52-01-7,4
Methotrexate,59-05-2,6
6-AMINOCAPROIC ACID,60-32-2,7
Thyropropic acid,51-26-3,9
Trichloroacetic acid,76-03-9,10
Aconitine (principal alkaloid of Aconitum napellus L.),302-27-2,12
Adonis vernalis L. and its preparations,84649-73-0,13
Epinephrine,51-43-4,14
RAUWOLFIA SERPENTINA EXTRACT,90106-13-1,15
TETRAMETHYL DECYNEDIOL,-,16
Isoprenaline,7683-59-2,17
Allyl isothiocyanate,57-06-7,18
Alloclamide,5486-77-1,19
"Nalorphine , its salts and ethers",62-67-9,20
OCTOPAMINE,300-62-9,21
N-NICOTINOYL TYRAMINE,300-62-9,21
N-NICOTINOYL DOPAMINE,300-62-9,21
N-CYCLOHEXANOYL TYRAMINE,300-62-9,21
N-ADAMANTANOYL TYRAMINE,300-62-9,21
Betoxycaine,3818-62-0,23
Zoxazolamine,61-80-3,24
"Procainamide , its salts and derivatives",51-06-9,25
Benzidine,92-87-5,26
"Tuaminoheptane , its isomers and salts",123-82-0,27
Octodrine,543-82-8,28
"2-Amino-1,2-bis(4-methoxyphenyl)ethanol",530-34-7,29
"1,3-Dimethylpentylamine",105-41-9,30
4-Aminosalicylic acid,65-49-6,31
AMMI MAJUS EXTRACT,90320-46-0,35
"2,3-Dichloro-2-methylbutane",507-45-9,36
PRASTERONE,-,37
TESTOSTERONE,-,37
Anthracene oil,120-12-7,38
"Distillates (coal tar), pitch, pyrene fraction",91995-52-7,38
"Distillates (coal tar), pitch",101316-49-8,38
Antibiotics,-,39
ANTIMONY POTASSIUM TARTRATE,7440-36-0,40
APOCYNUM CANNABINUM ROOT EXTRACT,84603-51-0,41
Arsenic and its compounds,7440-38-2,43
Atropa belladonna L. and its preparations,8007-93-0,44
"Atropine, its salts and derivatives",51-55-8,45
BARIUM GLUCONATE,-,46
BARIUM HEXAFERRITE,-,46
BARIUM CHLORIDE,-,46
Benzene,71-43-2,47
Benzimidazol-2(3H)-one,615-16-7,48
Benzazepines and benzodiazepines,12794-10-4,49
1-Dimethylaminomethyl-1-methylpropyl benzoate (amylocaine),644-26-8,50
"2,2,6-Trimethyl-4-piperidyl benzoate (eucaine)",500-34-5,51
Isocarboxazid,59-63-2,52
Bendroflumethiazide and its derivatives,73-48-3,53
EMERALD,7440-41-7,54
"Bromine, elemental",7726-95-6,55
Bretylium tosilate,61-75-6,56
Carbromal,77-65-6,57
Bromisoval,496-67-3,58
Brompheniramine,86-22-6,59
Benzilonium bromide,1050-48-2,60
Tetrylammonium bromide,71-91-0,61
Brucine,357-57-3,62
Tetracaine,94-24-6,63
Mofebutazone,2210-63-1,64
Tolbutamide,64-77-7,65
Carbutamide,339-43-5,66
Phenylbutazone,50-33-9,67
Cadmium and its compounds,7440-43-9,68
"Cantharides, Cantharis vesicatoria",92457-17-5,69
Cantharidine,56-25-7,70
Phenprobamate,673-31-4,71
Nitroderivatives of carbazole,-,72
Carbon disulphide,75-15-0,73
CATALASE,9001-05-2,74
Cephaeline,483-17-0,75
Chenopodium ambrosioides L. (essential oil),8006-99-3,76
"2,2,2-Trichloroethane-1,1-diol",302-17-0,77
Chlorine,7782-50-5,78
Chlorpropamide,94-20-2,79
Chlorzoxazone,95-25-0,82
2-Chloro-6-methylpyrimidin-4-yldimethylamine (crimidine-ISO),535-89-7,83
Chlorprothixene,113-59-7,84
Clofenamide,671-95-4,85
"N,N-bis(2-Chloroethyl)methylamine N-oxide",126-85-2,86
Chlormethine,51-75-2,87
Cyclophosphamide,50-18-0,88
Mannomustine,576-68-1,89
Butanilicaine,3785-21-5,90
Chlormezanone,80-77-3,91
Triparanol,78-41-1,92
Chlorphenoxamine,77-38-3,94
Phenaglycodol,79-93-6,95
Chloroethane,75-00-3,96
CHROMIUM,7440-47-3,97
